Rank,Player,PER
1,LeBron James,27.68
2,Chris Paul,25.64
3,Kevin Durant,25.30
4,Russell Westbrook,23.93
5,Dwyane Wade,23.91
6,Stephen Curry,23.79
7,James Harden,23.68
8,Dirk Nowitzki,22.64
9,DeMarcus Cousins,22.45
10,Blake Griffin,22.43
11,Kevin Love,21.93
12,Dwight Howard,21.61
13,Pau Gasol,21.41
14,Damian Lillard,21.02
15,LaMarcus Aldridge,20.71
16,Brook Lopez,20.56
17,Al Jefferson,20.56
18,Carmelo Anthony,20.34
19,Manu Ginobili,20.22
20,Greg Monroe,20.20
21,Jimmy Butler,19.94
22,John Wall,19.51
23,Zach Randolph,19.33
24,Paul Millsap,19.08
25,Vince Carter,19.05
26,Kemba Walker,18.96
27,Al Horford,18.82
28,Marc Gasol,18.66
29,David West,18.61
30,Kyle Lowry,18.58
31,Paul George,18.51
32,DeAndre Jordan,18.50
33,Tony Parker,18.32
34,Lou Williams,18.20
35,Derrick Rose,17.95
36,Gordon Hayward,17.71
37,DeMar DeRozan,17.71
38,Joakim Noah,17.58
39,Tyreke Evans,17.57
40,Josh Smith,17.44
41,Mike Conley,17.32
42,Jeff Teague,17.26
43,Goran Dragic,17.24
44,Ty Lawson,17.23
45,Marcin Gortat,17.21
46,Nene Hilario,17.18
47,Serge Ibaka,17.03
48,Emeka Okafor,16.98
49,Rudy Gay,16.73
50,Ryan Anderson,16.69
51,Jrue Holiday,16.54
52,Rajon Rondo,16.39
53,Thaddeus Young,16.38
54,Andrew Bogut,16.38
55,Klay Thompson,16.34
56,Tyson Chandler,16.30
57,Robin Lopez,16.29
58,Devin Harris,16.23
59,Jason Terry,16.21
60,Darren Collison,16.16
61,Jose Calderon,16.05
62,Amir Johnson,15.92
63,Ramon Sessions,15.87
64,Andre Iguodala,15.82
65,Ersan Ilyasova,15.69
66,Brandon Jennings,15.69
67,Joe Johnson,15.44
68,Luol Deng,15.42
69,Taj Gibson,15.25
70,Nicolas Batum,15.23
71,Jamal Crawford,15.22
72,George Hill,15.12
73,J.J. Redick,14.98
74,Eric Gordon,14.78
75,Zaza Pachulia,14.60
76,Jameer Nelson,14.45
77,Richard Jefferson,14.43
78,J.J. Barea,14.43
79,Tony Allen,14.15
80,Jarrett Jack,14.08
81,D.J. Augustin,14.05
82,J.R. Smith,14.03
83,Spencer Hawes,13.98
84,Raymond Felton,13.85
85,Marvin Williams,13.75
86,Wesley Matthews,13.58
87,Trevor Ariza,13.42
88,Channing Frye,13.42
89,O.J. Mayo,13.38
90,Wilson Chandler,13.33
91,C.J. Miles,13.30
92,Nick Collison,13.22
93,Jeff Green,13.22
94,Udonis Haslem,12.99
95,Jared Dudley,12.98
96,Nick Young,12.92
97,Kyle Korver,12.87
98,Mario Chalmers,12.66
99,Shaun Livingston,12.52
100,Marco Belinelli